Barrie,Greater Sudbury,290.17
Belleville,Greater Sudbury,525.52
Brantford,Greater Sudbury,471.52
Greater Sudbury,Greater Sudbury,
Guelph,Greater Sudbury,443.04
Hamilton,Greater Sudbury,436.52
Kanata,Greater Sudbury,507.68
Kingston,Greater Sudbury,586.74
Kitchener,Greater Sudbury,459.15
London,Greater Sudbury,542.46
Milton,Greater Sudbury,404.89
Oshawa,Greater Sudbury,378.46
Ottawa,Greater Sudbury,482.65
Peterborough,Greater Sudbury,412.59
Sarnia,Greater Sudbury,642.06
Sault Ste. Marie,Greater Sudbury,306.3
St. Catharines,Greater Sudbury,478.03
Thunder Bay,Greater Sudbury,1003.13
Toronto,Greater Sudbury,380.18
Windsor,Greater Sudbury,720.31
Barrie,Kingston,343.52
Belleville,Kingston,82.95
Brantford,Kingston,365.5
Greater Sudbury,Kingston,585.85
Guelph,Kingston,340.65
Hamilton,Kingston,330.5
Kanata,Kingston,156.81
Kingston,Kingston,
Kitchener,Kingston,356.75
London,Kingston,440.07
Milton,Kingston,302.5
Oshawa,Kingston,205.44
Ottawa,Kingston,172.35
Peterborough,Kingston,183.92
Sarnia,Kingston,539.67
Sault Ste. Marie,Kingston,1107.59
St. Catharines,Kingston,372.02
Thunder Bay,Kingston,1806.51
Toronto,Kingston,261.22
Windsor,Kingston,617.92
Barrie,London,255.33
Belleville,London,364.17
Brantford,London,94.11
Greater Sudbury,London,543.55
Guelph,London,119.22
Hamilton,London,128.35
Kanata,London,615.3
Kingston,London,440.35
Kitchener,London,102.01
London,London,
Milton,London,141.37
Oshawa,London,239.09
Ottawa,London,603.49
Peterborough,London,315.11
Sarnia,London,102.51
Sault Ste. Marie,London,670.43
St. Catharines,London,182.08
Thunder Bay,London,1369.35
Toronto,London,189.07
Windsor,London,190.38
Barrie,Niagara Falls,208.74
Belleville,Niagara Falls,313.96
Brantford,Niagara Falls,114.77
Greater Sudbury,Niagara Falls,496.96
Guelph,Niagara Falls,127.46
Hamilton,Niagara Falls,71.55
Kanata,Niagara Falls,420.97
Kingston,Niagara Falls,464.1
Kitchener,Niagara Falls,143.57
London,Niagara Falls,200.41
Milton,Niagara Falls,99.44
Oshawa,Niagara Falls,188.88
Ottawa,Niagara Falls,561.52
Peterborough,Niagara Falls,264.9
Sarnia,Niagara Falls,300.01
Sault Ste. Marie,Niagara Falls,867.93
St. Catharines,Niagara Falls,20.18
Thunder Bay,Niagara Falls,1566.86
Toronto,Niagara Falls,133.82
Windsor,Niagara Falls,378.26
Barrie,Ottawa,409.97
Belleville,Ottawa,228.8
Brantford,Ottawa,528.82
Greater Sudbury,Ottawa,482.64
Guelph,Ottawa,503.97
Hamilton,Ottawa,493.82
Kanata,Ottawa,21.42
Kingston,Ottawa,171.83
Kitchener,Ottawa,520.07
London,Ottawa,603.39
Milton,Ottawa,465.82
Oshawa,Ottawa,368.76
Ottawa,Ottawa,
Peterborough,Ottawa,269.25
Sarnia,Ottawa,702.99
Sault Ste. Marie,Ottawa,791.15
St. Catharines,Ottawa,574.58
Thunder Bay,Ottawa,1551.77
Toronto,Ottawa,424.54
Windsor,Ottawa,781.24
Barrie,Thunder Bay,1285.65
Belleville,Thunder Bay,1733.52
Brantford,Thunder Bay,1463.45
Greater Sudbury,Thunder Bay,1003.94
Guelph,Thunder Bay,1488.57
Hamilton,Thunder Bay,1497.69
Kanata,Thunder Bay,1313.34
Kingston,Thunder Bay,1809.7
Kitchener,Thunder Bay,1471.35
London,Thunder Bay,1373.78
Milton,Thunder Bay,1510.72
Oshawa,Thunder Bay,1608.43
Ottawa,Thunder Bay,1513.51
Peterborough,Thunder Bay,1408.06
Sarnia,Thunder Bay,1272.35
Sault Ste. Marie,Thunder Bay,699.82
St. Catharines,Thunder Bay,1551.42
Thunder Bay,Thunder Bay,
Toronto,Thunder Bay,1558.41
Windsor,Thunder Bay,1362.92
Barrie,Toronto,90.95
Belleville,Toronto,183.72
Brantford,Toronto,108.56
Greater Sudbury,Toronto,379.17
Guelph,Toronto,89.57
Hamilton,Toronto,73.56
Kanata,Toronto,411.8
Kingston,Toronto,259.9
Kitchener,Toronto,105.67
London,Toronto,188.99
Milton,Toronto,51.42
Oshawa,Toronto,58.63
Ottawa,Toronto,423.04
Peterborough,Toronto,134.65
Sarnia,Toronto,288.59
Sault Ste. Marie,Toronto,856.51
St. Catharines,Toronto,115.08
Thunder Bay,Toronto,1555.43
Toronto,Toronto,
Windsor,Toronto,366.84
Barrie,Windsor,432.56
Belleville,Windsor,541.41
Brantford,Windsor,271.34
Greater Sudbury,Windsor,720.79
Guelph,Windsor,296.46
Hamilton,Windsor,305.58
Kanata,Windsor,814.17
Kingston,Windsor,617.59
Kitchener,Windsor,279.25
London,Windsor,191.07
Milton,Windsor,318.61
Oshawa,Windsor,416.33
Ottawa,Windsor,780.73
Peterborough,Windsor,492.34
Sarnia,Windsor,109.97
Sault Ste. Marie,Windsor,574.05
St. Catharines,Windsor,359.32
Thunder Bay,Windsor,1272.97
Toronto,Windsor,366.3
Windsor,Windsor,